word,mean_RT,acc,N_corr,N_wrg,Length(N_letters),NSyll,OLD,raw_KF,raw_CELEX,raw_BNC,raw_COCA,raw_ANC,raw_SUBTLEX-UK,raw_SUBTLEX-US,raw_HAL,raw_Worldlex,raw_Usenet,raw_BlogFreq,raw_TwitterFreq,raw_NewsFreq,raw_GB_AmE,raw_GB_BrE,zipf_KF,zipf_Celex,zipf_BNC,zipf_COCA,zipf_ANC,zipf_SUBTLEX-UK,zipf_SUBTLEX-US,zipf_HAL,zipf_USENET,zipf_WorldLex,zipf_Blog,zipf_Twitter,zipf_News,zipf_GB_AmE,zipf_GB_BrE,subj_Freq_ratings
file,764.94,0.903,65,7,4,1,1.15,81,510,6014,20257,2636,2394,2246,311710,3744,1277742,1324,752,1668,8382701,921681,4.89,4.44,4.77,4.59,5.07,4.07,4.64,5.85,5.22,4.55,4.54,4.38,4.67,4.73,4.43,4.54
fire,680.89,1,72,0,4,1,1.1,187,2738,14104,76494,2317,30813,10990,62707,17463,750846,4283,4731,8449,18687866,6302776,5.25,5.17,5.14,5.17,5.01,5.18,5.33,5.15,4.98,5.22,5.05,5.18,5.38,5.08,5.27,5.2
flagrant,1071.4,0.319,23,49,8,2,2.75,3,23,102,539,24,56,29,756,155,10755,33,53,69,257107,89130,3.57,3.11,3.01,3.01,3.05,2.45,2.77,3.24,3.14,3.17,2.95,3.24,3.29,3.22,3.42,2.09
flirt,941.91,0.347,25,47,5,1,1.9,1,22,134,1085,37,303,200,467,351,3890,98,221,32,121888,33279,3.27,3.09,3.13,3.32,3.23,3.18,3.59,3.03,2.7,3.53,3.41,3.85,2.97,2.9,2.99,2.63
fold,726.11,0.972,70,2,4,1,1.35,7,177,964,6255,1676,2202,440,4906,1467,63709,897,219,351,2062809,608450,3.88,3.98,3.98,4.08,4.87,4.04,3.94,4.05,3.91,4.15,4.37,3.85,4,4.12,4.25,3.97
forced,733.56,0.944,68,4,6,1,1.75,81,1579,8114,37529,1309,8770,1349,27590,6048,399416,2421,574,3053,8842267,2678395,4.89,4.93,4.9,4.86,4.77,4.64,4.42,4.8,4.71,4.76,4.8,4.26,4.93,4.76,4.9,4.74
frees,785.2,0.722,52,20,5,1,1.6,2,13,88,748,21,156,34,659,126,6894,54,32,40,176630,39970,3.45,2.88,2.94,3.16,2.99,2.89,2.84,3.18,2.95,3.08,3.16,3.02,3.06,3.06,3.07,2.94
fuel,797.56,0.792,57,15,4,1,1.75,17,828,4238,27532,594,8519,876,16552,3524,325602,979,485,2060,4289358,1125069,4.23,4.65,4.62,4.72,4.42,4.63,4.23,4.57,4.62,4.53,4.41,4.19,4.76,4.44,4.52,3.86
fullest,855.15,0.917,66,6,7,2,2.5,5,56,242,1011,25,119,50,1022,425,9504,156,219,50,699853,246824,3.75,3.49,3.38,3.29,3.06,2.77,3,3.37,3.09,3.61,3.61,3.85,3.16,3.65,3.86,2.86
funniest,869.7,0.861,62,10,8,3,2.95,2,13,123,1107,143,662,148,1668,966,15790,215,683,68,63469,10975,3.45,2.88,3.09,3.33,3.81,3.52,3.46,3.58,3.31,3.96,3.75,4.34,3.29,2.61,2.51,2.63
