word,mean_RT,acc,N_corr,N_wrg,Length(N_letters),NSyll,OLD,raw_KF,raw_CELEX,raw_BNC,raw_COCA,raw_ANC,raw_SUBTLEX-UK,raw_SUBTLEX-US,raw_HAL,raw_Worldlex,raw_Usenet,raw_BlogFreq,raw_TwitterFreq,raw_NewsFreq,raw_GB_AmE,raw_GB_BrE,zipf_KF,zipf_Celex,zipf_BNC,zipf_COCA,zipf_ANC,zipf_SUBTLEX-UK,zipf_SUBTLEX-US,zipf_HAL,zipf_USENET,zipf_WorldLex,zipf_Blog,zipf_Twitter,zipf_News,zipf_GB_AmE,zipf_GB_BrE,subj_Freq_ratings
characterize,949.7,0.889,64,8,12,4,4.35,6,60,228,3330,228,1,35,1451,124,15582,45,7,72,1015506,168275,3.82,3.51,3.36,3.8,4.01,1,2.85,3.52,3.3,3.08,3.08,2.41,3.31,3.82,3.69,3.69
checks,754.91,0.986,71,1,6,1,1.8,17,200,1207,12644,477,2744,759,26846,2001,165491,428,379,1194,1682690,254633,4.23,4.03,4.08,4.38,4.33,4.13,4.17,4.78,4.33,4.28,4.05,4.08,4.53,4.04,3.87,4.37
children,671.52,0.986,71,1,8,2,3.45,355,11744,46608,296059,8530,68015,8930,96102,35576,1523351,16489,3997,15090,55660945,12962031,5.52,5.8,5.66,5.75,5.58,5.53,5.24,5.34,5.29,5.53,5.63,5.11,5.63,5.56,5.58,6.17
chosen,736.23,0.972,70,2,6,2,1.95,71,1061,5965,19245,1102,8416,927,14953,3746,197355,2170,404,1172,7585153,2399807,4.83,4.76,4.77,4.57,4.69,4.62,4.26,4.53,4.4,4.55,4.75,4.11,4.52,4.69,4.85,4.6
cigar,848.33,0.542,39,33,5,2,2,10,233,490,3449,107,788,660,1240,479,36219,158,158,163,744944,151020,4.01,4.1,3.69,3.82,3.68,3.59,4.11,3.45,3.67,3.66,3.62,3.71,3.66,3.68,3.65,3.77
class,601.14,1,72,0,5,1,1.5,207,3793,18149,92014,3900,20816,5985,94260,26340,814978,7691,11767,6882,27260152,7025660,5.29,5.31,5.25,5.25,5.24,5.01,5.07,5.33,5.02,5.4,5.3,5.58,5.29,5.25,5.32,6.09
classified,817.53,0.972,70,2,10,3,3.35,14,151,1253,8476,561,630,345,6244,640,1721436,237,73,330,2516030,460386,4.15,3.91,4.09,4.21,4.4,3.5,3.83,4.15,5.34,3.79,3.79,3.37,3.97,4.21,4.13,4.4
coalition,1190.91,0.319,23,49,9,3,2.75,15,243,2434,18049,488,15117,92,7118,1983,176673,492,144,1347,1044245,278649,4.18,4.12,4.38,4.54,4.34,4.87,3.26,4.21,4.36,4.28,4.11,3.67,4.58,3.83,3.91,2.43
coincide,1002.46,0.764,55,17,8,3,2.6,12,72,647,1410,56,224,40,1708,211,14509,74,17,120,715522,252748,4.09,3.59,3.81,3.43,3.41,3.05,2.9,3.59,3.27,3.31,3.29,2.76,3.53,3.66,3.87,3
coke,807.7,0.681,49,23,4,1,1.3,4,100,610,5004,357,1023,948,4270,1227,36279,345,724,158,455728,146548,3.67,3.73,3.78,3.98,4.2,3.71,4.27,3.99,3.67,4.07,3.95,4.36,3.65,3.47,3.63,3.51
combat,842.31,0.597,43,29,6,2,2.05,27,311,1581,16487,376,2138,706,18625,1663,212938,606,189,868,2366820,647954,4.42,4.22,4.19,4.5,4.23,4.03,4.14,4.63,4.44,4.2,4.2,3.78,4.39,4.18,4.28,3.29
comes,632.13,0.972,70,2,5,1,1.3,137,3394,15968,108759,4095,62901,11656,103585,25521,968371,11471,6380,7670,16118954,4877243,5.11,5.26,5.2,5.32,5.26,5.49,5.36,5.37,5.09,5.39,5.47,5.31,5.33,5.02,5.16,5.71
comfy,1044.1,0.167,12,60,5,2,2,0,8,112,896,66,1180,115,587,708,7725,334,287,87,26328,6203,2.97,2.68,3.05,3.24,3.48,3.77,3.36,3.13,3,3.83,3.94,3.96,3.39,2.23,2.26,1.77
comparison,868,0.958,69,3,10,4,3.25,48,417,3338,17994,1673,1828,187,16657,1853,153562,904,277,672,6628657,2026204,4.66,4.35,4.52,4.54,4.87,3.96,3.57,4.58,4.3,4.25,4.37,3.95,4.28,4.63,4.78,5.2
computer,700.17,1,72,0,8,3,2.1,13,1113,13841,63135,3437,8818,3011,253358,9176,1599082,3656,3029,2491,8107371,1289447,4.12,4.78,5.14,5.08,5.19,4.64,4.77,5.76,5.31,4.94,4.98,4.99,4.85,4.72,4.58,5.91
conceal,873.72,0.694,50,22,7,2,2.35,7,224,687,2474,87,347,129,1524,265,29336,108,32,125,1254767,532993,3.88,4.08,3.83,3.68,3.59,3.24,3.41,3.54,3.58,3.4,3.45,3.02,3.55,3.91,4.2,4.03
conference,899.04,0.986,71,1,10,3,2.65,96,1298,10066,47376,1663,8679,1296,51735,14778,367993,2344,4627,7807,4401515,1070666,4.96,4.84,5,4.96,4.87,4.63,4.4,5.07,4.67,5.15,4.79,5.17,5.34,4.45,4.5,4.94
confession,840.16,0.875,63,9,10,3,2.35,17,169,645,4726,123,820,841,1748,826,37356,405,245,176,1611461,635316,4.23,3.96,3.81,3.96,3.74,3.61,4.22,3.6,3.68,3.9,4.02,3.9,3.7,4.02,4.27,3.31
confide,893.94,0.542,39,33,7,2,2.05,3,36,174,591,16,116,97,147,56,2338,33,12,11,244851,88489,3.57,3.3,3.24,3.05,2.88,2.76,3.28,2.53,2.48,2.73,2.95,2.62,2.53,3.2,3.42,2.49
confirm,795.77,0.931,67,5,7,2,2.4,16,228,2618,7766,596,3978,736,10621,1343,136486,425,379,539,1742762,665545,4.2,4.09,4.41,4.17,4.43,4.3,4.16,4.38,4.24,4.11,4.04,4.08,4.18,4.05,4.29,5.06
conquer,832.95,0.819,59,13,7,2,2.65,4,96,270,1858,78,869,254,3143,531,28947,217,250,64,922126,327294,3.67,3.72,3.43,3.55,3.55,3.63,3.7,3.85,3.57,3.7,3.75,3.9,3.26,3.77,3.98,3.8
consulting,899.2,0.889,64,8,10,3,2.6,13,124,816,8465,384,730,146,34546,1368,480236,283,214,871,1072204,302019,4.12,3.83,3.91,4.21,4.24,3.56,3.46,4.89,4.79,4.12,3.87,3.84,4.39,3.84,3.95,3.94
contact,740.54,0.972,70,2,7,2,2.05,63,1361,10379,41033,1569,10567,3305,141845,9899,4662497,2988,3818,3093,10713850,2820653,4.78,4.86,5.01,4.9,4.85,4.72,4.81,5.51,5.78,4.97,4.89,5.09,4.94,4.84,4.92,5.46
core,768.05,0.764,55,17,4,1,1,37,303,3390,27074,1182,4114,501,19755,3821,334400,1573,700,1548,4193889,1118152,4.55,4.21,4.53,4.71,4.72,4.31,3.99,4.65,4.63,4.56,4.61,4.35,4.64,4.43,4.52,3.77
corridor,880.67,0.653,47,25,8,3,3.3,17,503,2099,8055,130,1839,284,2970,709,24295,219,49,441,905335,237759,4.23,4.43,4.32,4.19,3.77,3.96,3.75,3.83,3.49,3.83,3.76,3.2,4.09,3.77,3.84,3.06
corroborate,1014.11,0.208,15,57,11,4,3.8,2,8,37,617,41,77,56,300,53,5192,11,4,38,132662,41611,3.45,2.68,2.58,3.07,3.27,2.59,3.05,2.83,2.82,2.71,2.49,2.2,3.04,2.93,3.09,1.77
country,726.31,0.986,71,1,7,2,2.3,324,6561,31905,217659,6808,89658,8254,106711,26137,2068203,9458,4190,12489,41265441,15312705,5.48,5.55,5.5,5.62,5.48,5.65,5.21,5.38,5.42,5.4,5.39,5.13,5.55,5.43,5.65,5.83
course,698.31,1,72,0,6,1,1.85,465,11914,19694,188498,8512,94029,24848,195947,30903,2024605,16143,7218,7542,44175597,14168174,5.64,5.81,5.29,5.56,5.58,5.67,5.69,5.65,5.42,5.47,5.62,5.36,5.33,5.45,5.62,5.37
covering,831.16,0.944,68,4,8,3,1.8,32,462,3328,14543,476,3375,634,10313,2335,179313,900,567,868,3644294,1077213,4.49,4.39,4.52,4.45,4.33,4.22,4.09,4.37,4.36,4.35,4.37,4.26,4.39,4.37,4.5,3.86
creation,784.14,0.931,67,5,8,3,2.2,46,563,4733,20182,572,3060,310,22642,3602,360917,1838,719,1045,6154418,1941329,4.64,4.48,4.67,4.59,4.41,4.18,3.78,4.71,4.67,4.54,4.68,4.36,4.47,4.6,4.76,4.6
credit,748.08,0.986,71,1,6,2,2.4,64,731,7375,43745,2319,11495,2337,49110,9623,616108,2340,2067,5216,8027512,2039873,4.79,4.59,4.86,4.92,5.02,4.76,4.66,5.05,4.9,4.96,4.78,4.82,5.17,4.71,4.78,4.63
crouch,916,0.389,28,44,6,1,1.85,7,35,214,1211,28,447,38,1268,119,10663,45,25,49,107478,32158,3.88,3.29,3.33,3.37,3.11,3.35,2.88,3.46,3.14,3.06,3.08,2.92,3.15,2.84,2.98,2.4
cultural,855.8,0.972,70,2,8,3,3.1,55,1002,6543,56541,1340,3198,202,19229,3655,213922,1703,552,1400,9638620,2555764,4.72,4.73,4.81,5.03,4.78,4.2,3.6,4.64,4.44,4.54,4.65,4.25,4.6,4.79,4.88,5.49
curl,966.7,0.514,37,35,4,1,1.5,2,77,451,2726,51,530,120,1236,506,10387,246,179,81,359478,98258,3.45,3.62,3.65,3.72,3.37,3.42,3.37,3.45,3.13,3.68,3.81,3.76,3.36,3.37,3.46,3.11
currently,787.22,0.972,70,2,9,3,3.1,34,393,7050,28835,1533,8987,351,88217,8683,2608992,3410,2218,3055,2814168,653438,4.52,4.32,4.84,4.74,4.84,4.65,3.84,5.3,5.53,4.92,4.95,4.85,4.93,4.26,4.28,4.71
danger,681.13,1,72,0,6,2,1.65,70,1319,6018,22926,602,11370,2227,12703,2566,224706,1193,349,1024,8871124,3338302,4.82,4.85,4.78,4.64,4.43,4.75,4.64,4.46,4.46,4.39,4.49,4.05,4.46,4.76,4.99,5.71
day,573.51,0.972,70,2,3,1,1.15,686,13729,62256,397305,13710,197132,40893,239111,169883,3140667,50981,90394,28508,78211120,26182416,5.81,5.87,5.79,5.88,5.79,5.99,5.9,5.73,5.61,6.21,6.12,6.46,5.9,5.7,5.89,6.49
dazzle,939.41,0.583,42,30,6,2,1.95,1,41,119,947,20,364,51,253,102,3610,46,21,35,120751,44710,3.27,3.35,3.07,3.26,2.97,3.26,3.01,2.76,2.67,2.99,3.09,2.85,3.01,2.89,3.12,2.83
dealt,899.07,0.764,55,17,5,1,1.9,22,405,3500,8543,293,3987,379,8200,1220,83503,568,130,522,2698659,1203215,4.33,4.34,4.54,4.21,4.12,4.3,3.87,4.27,4.03,4.07,4.17,3.62,4.17,4.24,4.55,3.89
dearer,903.94,0.778,56,16,6,2,1.8,1,24,125,66,4,99,13,49,11,1132,8,1,2,212624,122148,3.27,3.13,3.1,2.11,2.35,2.7,2.44,2.06,2.16,2.06,2.37,1.81,1.93,3.14,3.56,2.51
debut,867.52,0.417,30,42,5,2,1.85,14,54,1584,7588,231,2508,132,2953,3240,29913,1152,644,1444,427053,108432,4.15,3.47,4.2,4.16,4.02,4.09,3.42,3.83,3.58,4.49,4.48,4.31,4.61,3.44,3.5,2.37
decent,778.33,0.806,58,14,6,2,1.75,20,478,1855,9006,497,8218,1433,22901,3051,231730,1579,856,616,1372741,448825,4.3,4.41,4.26,4.24,4.35,4.61,4.45,4.72,4.47,4.46,4.61,4.44,4.24,3.95,4.12,3.66
declares,967.61,0.833,60,12,8,2,2.65,11,52,353,2653,126,143,34,1926,369,33317,181,80,108,1422395,497831,4.05,3.45,3.54,3.71,3.75,2.85,2.84,3.64,3.63,3.55,3.68,3.41,3.49,3.96,4.17,4.17
densest,1214.67,0.208,15,57,7,2,2.4,1,13,28,207,6,40,3,54,20,671,9,2,9,51497,16045,3.27,2.88,2.46,2.6,2.49,2.31,1.89,2.1,1.94,2.3,2.41,1.98,2.45,2.52,2.67,1.57
development,735.22,1,72,0,11,4,3.5,334,3241,32409,111348,4189,10311,625,130333,11111,4709838,3395,1301,6415,33436452,9201065,5.5,5.24,5.51,5.33,5.27,4.71,4.09,5.47,5.78,5.02,4.95,4.62,5.26,5.33,5.43,5.89
different,672.53,1,72,0,9,2,2.7,312,7170,48374,217866,12276,91226,10686,223502,34798,2075903,18745,5987,10066,53176481,17025678,5.47,5.58,5.68,5.62,5.74,5.66,5.32,5.71,5.43,5.52,5.69,5.28,5.45,5.54,5.7,6.31
diminishes,1080.88,0.472,34,38,10,4,3.5,3,33,123,984,34,64,7,462,93,5416,39,19,35,523958,168115,3.57,3.26,3.09,3.28,3.19,2.51,2.19,3.02,2.84,2.95,3.02,2.81,3.01,3.53,3.69,2.74
diplomat,945.19,0.625,45,27,8,3,3.35,5,68,372,3155,106,392,109,1166,173,30092,51,26,96,330421,69717,3.75,3.57,3.57,3.78,3.68,3.29,3.33,3.42,3.59,3.22,3.13,2.94,3.44,3.33,3.31,3.91
discovery,789.58,1,72,0,9,4,2.95,45,604,2836,16361,686,3372,584,7790,2126,134164,839,542,745,4769630,1584395,4.64,4.51,4.45,4.5,4.49,4.22,4.06,4.25,4.24,4.31,4.34,4.24,4.32,4.49,4.67,5
dishes,710.11,1,72,0,6,2,1.8,21,359,1412,12793,407,5587,605,3411,3669,31229,1391,457,1821,1454273,364971,4.32,4.29,4.15,4.39,4.26,4.44,4.07,3.89,3.6,4.54,4.56,4.17,4.71,3.97,4.03,4.71
disliked,917.49,0.944,68,4,8,2,2.8,11,215,630,1525,57,186,28,1083,230,11579,130,51,49,610636,242349,4.05,4.06,3.8,3.47,3.41,2.97,2.75,3.39,3.17,3.34,3.53,3.22,3.15,3.6,3.85,3.86
distance,712.97,1,72,0,8,2,2.6,108,1597,6829,38512,1353,8814,1306,29802,3901,235704,1919,701,1281,14846727,4934075,5.01,4.93,4.83,4.87,4.78,4.64,4.41,4.83,4.48,4.57,4.7,4.35,4.56,4.98,5.16,4.97
distributed,957.72,0.958,69,3,11,4,3,27,260,2783,8713,575,563,67,28505,1025,202732,413,102,510,4340374,1132645,4.42,4.15,4.44,4.22,4.41,3.45,3.12,4.81,4.42,3.99,4.03,3.52,4.16,4.45,4.52,4.23
division,802.97,0.958,69,3,8,3,2.5,107,981,9009,32704,1105,3325,946,35084,5484,310711,838,530,4116,7922639,2472774,5.01,4.72,4.95,4.8,4.69,4.22,4.27,4.9,4.6,4.72,4.34,4.23,5.06,4.71,4.86,4.37
dominant,876.34,0.917,66,6,8,3,2.85,65,453,3063,12533,492,1628,82,5947,1089,60479,409,127,553,3796929,1073012,4.79,4.39,4.48,4.38,4.34,3.91,3.21,4.13,3.89,4.02,4.03,3.61,4.19,4.39,4.5,4.63
done,636.49,0.972,70,2,4,1,1,320,7282,35473,166664,6997,196524,24737,173968,43753,2001250,16711,17601,9441,36209125,12199720,5.48,5.59,5.55,5.5,5.49,5.99,5.69,5.6,5.41,5.62,5.64,5.75,5.42,5.37,5.55,6.34
down,676.14,0.972,70,2,4,1,1.55,895,21923,96025,491748,14522,247982,76004,293731,88927,3053371,34553,27866,26508,72761891,21758843,5.93,6.07,5.98,5.97,5.81,6.09,6.17,5.82,5.59,5.93,5.95,5.95,5.87,5.67,5.81,6.34
drawn,702.97,0.972,70,2,5,1,1.6,70,1171,7523,22784,711,6666,542,11970,2981,123128,1535,240,1206,10781477,4096631,4.82,4.8,4.87,4.64,4.5,4.52,4.03,4.43,4.2,4.45,4.6,3.89,4.53,4.84,5.08,4.11
drives,712.91,0.986,71,1,6,1,1.55,6,255,1343,13122,408,2216,728,43187,1942,164354,592,557,793,1799422,387816,3.82,4.14,4.12,4.4,4.26,4.04,4.15,4.99,4.32,4.27,4.19,4.25,4.35,4.06,4.06,5.17
driveway,1071.87,0.722,52,20,8,2,3.35,14,74,222,6922,146,833,343,1147,960,19245,422,170,368,337412,15425,4.15,3.6,3.34,4.12,3.82,3.62,3.83,3.42,3.39,3.96,4.04,3.74,4.02,3.34,2.66,3.43
dug,874.72,0.764,55,17,3,1,1.15,15,275,1100,6666,144,2357,455,2868,785,32979,404,117,264,1199069,395256,4.18,4.17,4.04,4.11,3.81,4.07,3.95,3.81,3.63,3.87,4.02,3.58,3.87,3.89,4.07,4.03
during,670.53,0.986,71,1,6,2,1.85,585,6818,44013,253585,10977,30343,3872,137335,44341,1785146,14476,6450,23415,57303564,15672313,5.74,5.56,5.64,5.69,5.69,5.18,4.88,5.49,5.36,5.63,5.58,5.31,5.82,5.57,5.66,6.23
easiest,882.75,0.958,69,3,7,3,2.6,7,148,783,3717,119,1587,204,7936,904,50685,455,246,203,702048,176955,3.88,3.9,3.89,3.85,3.73,3.9,3.6,4.26,3.81,3.94,4.07,3.9,3.76,3.66,3.72,3.37
east,712.73,0.944,68,4,4,1,1.25,183,771,17634,77929,3046,31424,2527,49098,13200,811296,2779,2673,7748,7261830,3276336,5.24,4.62,5.24,5.17,5.13,5.19,4.69,5.05,5.02,5.1,4.86,4.93,5.34,4.67,4.98,5.37
eaten,710.02,0.917,66,6,5,2,1.95,12,650,1694,7144,332,4557,927,4257,1858,45052,1025,521,312,1932191,634122,4.09,4.54,4.22,4.14,4.17,4.35,4.26,3.99,3.76,4.25,4.43,4.22,3.95,4.1,4.27,3.94
ecstatic,1057.3,0.306,22,50,8,3,3.45,4,51,255,1660,43,610,69,876,410,7051,199,109,102,328776,87840,3.67,3.45,3.4,3.5,3.29,3.48,3.14,3.3,2.96,3.59,3.72,3.55,3.46,3.33,3.41,1.69
edge,769.44,0.972,70,2,4,1,1.7,78,1384,7620,42730,990,12583,1199,37877,5338,232455,2462,827,2049,7696727,2050855,4.87,4.87,4.88,4.91,4.65,4.8,4.37,4.93,4.48,4.71,4.81,4.42,4.76,4.7,4.78,4.23
edifice,958,0.042,3,69,7,3,2.9,3,43,173,738,56,91,21,198,63,3486,38,1,24,605380,283877,3.57,3.37,3.24,3.15,3.41,2.66,2.63,2.65,2.65,2.78,3.01,1.81,2.85,3.59,3.92,1.23
employer,720.76,1,72,0,8,2,2.45,15,452,3018,8087,382,1285,274,27757,1312,2784925,437,182,693,2564562,537748,4.18,4.39,4.48,4.19,4.23,3.8,3.73,4.8,5.55,4.1,4.06,3.77,4.29,4.22,4.2,4.91
emulation,1214.55,0.347,25,47,9,4,2.45,0,18,264,397,5,5,1,7378,31,16001,18,10,3,267324,110394,2.97,3.01,3.42,2.88,2.43,1.47,1.59,4.22,3.31,2.48,2.69,2.55,2.05,3.24,3.51,1.63
enough,630.11,1,72,0,6,2,2.5,430,8881,32594,198332,7660,89973,25568,191008,40771,2077107,18759,9992,12020,32730633,8988773,5.61,5.68,5.51,5.58,5.53,5.65,5.7,5.64,5.43,5.59,5.69,5.5,5.53,5.32,5.42,5.97
entertainment,988.32,0.944,68,4,13,4,4.25,29,346,2010,18186,1213,4275,640,16689,4402,135406,1352,1016,2034,1893358,662684,4.45,4.27,4.3,4.54,4.73,4.33,4.1,4.58,4.24,4.62,4.55,4.51,4.76,4.09,4.29,5.2
environment,851.6,0.972,70,2,11,4,3.6,42,1327,13023,56029,1648,10821,652,70839,5015,1604205,2233,617,2165,10743007,2426025,4.61,4.85,5.11,5.03,4.87,4.73,4.11,5.21,5.31,4.68,4.76,4.3,4.79,4.84,4.85,5.91
episodes,949.16,0.708,51,21,8,3,3.45,6,74,772,5520,897,989,105,15188,2146,81345,888,842,416,1291795,314631,3.82,3.6,3.88,4.02,4.6,3.69,3.32,4.54,4.02,4.31,4.36,4.43,4.07,3.92,3.97,3.94
excellent,727.67,1,72,0,9,3,3.4,68,894,6718,20886,1392,17689,2688,79398,6701,1231996,2559,2677,1465,7840032,3042343,4.81,4.68,4.82,4.6,4.79,4.94,4.72,5.26,5.2,4.81,4.82,4.93,4.62,4.7,4.95,5.89
excuse,696.03,1,72,0,6,2,2.15,27,617,3090,16420,767,14550,18773,19298,3675,580688,1543,1621,511,2440795,970106,4.42,4.52,4.49,4.5,4.54,4.86,5.57,4.64,4.87,4.54,4.6,4.71,4.16,4.2,4.46,5.4
experience,694.34,1,72,0,10,3,2.85,276,3605,21374,115669,2990,28567,3088,234638,21227,8152781,9798,4829,6600,28690190,7827135,5.42,5.29,5.33,5.35,5.13,5.15,4.78,5.73,6.02,5.31,5.41,5.19,5.27,5.27,5.36,5.8
extracted,944.92,0.889,64,8,9,3,2.7,9,125,776,2691,485,418,56,5480,194,27465,94,17,83,1181456,444714,3.97,3.83,3.89,3.71,4.34,3.32,3.05,4.09,3.55,3.27,3.39,2.76,3.37,3.88,4.12,3.17
factories,887.55,0.986,71,1,9,3,3.05,24,362,1653,6219,196,2160,119,3478,627,38704,150,38,439,1824232,539349,4.37,4.29,4.21,4.08,3.94,4.03,3.37,3.9,3.7,3.78,3.59,3.1,4.09,4.07,4.2,4.37
fade,672.31,0.972,70,2,4,1,1.35,2,124,515,5115,127,1201,286,3505,839,30572,335,307,197,696418,199728,3.45,3.83,3.71,3.99,3.76,3.78,3.75,3.9,3.59,3.9,3.94,3.99,3.75,3.65,3.77,4.2
fancier,958.83,0.819,59,13,7,2,2.4,1,6,28,389,24,101,12,516,74,3045,33,10,31,42982,11334,3.27,2.57,2.46,2.87,3.05,2.7,2.41,3.07,2.59,2.85,2.95,2.55,2.95,2.44,2.52,2.29
fans,672.51,0.986,71,1,4,1,1.45,21,141,3456,31356,1359,14180,711,31621,18307,243560,2905,8647,6755,948379,209176,4.32,3.88,4.53,4.78,4.78,4.85,4.14,4.86,4.5,5.24,4.88,5.44,5.28,3.79,3.79,5.03
fantastic,818,0.972,70,2,9,3,3.25,20,308,1169,7993,323,57060,2029,10813,6561,121613,2603,3402,556,1120341,372713,4.3,4.22,4.06,4.19,4.16,5.45,4.6,4.39,4.19,4.8,4.83,5.04,4.2,3.86,4.04,5.23
far,617.97,1,72,0,3,1,1,427,9230,30499,177712,7476,82183,11259,176812,34299,1867624,14199,9599,10501,45834245,17186163,5.6,5.69,5.48,5.53,5.52,5.61,5.34,5.6,5.38,5.51,5.57,5.49,5.47,5.47,5.7,5.66
fatter,827.82,0.917,66,6,6,2,1.45,3,28,121,625,14,242,72,410,117,5868,38,53,26,69104,23737,3.57,3.19,3.08,3.08,2.83,3.08,3.16,2.97,2.88,3.05,3.01,3.24,2.88,2.65,2.84,3.66
fear,622.47,1,72,0,4,1,1.25,127,2791,8991,55802,1594,13899,3523,34537,9344,918665,4835,2501,2008,14392699,4969554,5.08,5.18,4.95,5.03,4.85,4.84,4.84,4.89,5.07,4.95,5.1,4.9,4.75,4.97,5.16,5.51
feet,672.54,0.958,69,3,4,1,1.5,283,4104,14100,104796,1840,24066,6157,40143,12963,386398,4546,2149,6268,26129976,7427085,5.43,5.34,5.14,5.3,4.91,5.08,5.08,4.96,4.7,5.09,5.07,4.84,5.25,5.23,5.34,4.89
few,648.15,1,72,0,3,1,1.45,601,10473,19161,259707,9525,94698,15393,264493,59296,2379513,31761,11637,15898,52816297,15922166,5.75,5.75,5.28,5.7,5.63,5.67,5.48,5.78,5.49,5.75,5.92,5.57,5.65,5.53,5.67,5.86
fiercest,1097.83,0.431,31,41,8,2,2.9,1,17,69,440,16,182,12,70,57,1910,23,5,29,121702,54428,3.27,2.98,2.84,2.93,2.88,2.96,2.41,2.21,2.39,2.74,2.8,2.28,2.93,2.89,3.2,2.49
